session_id,customer_id,device,COUNT(transactions),MEAN(transactions.amount),SUM(transactions.amount),MIN(transactions.amount),MAX(transactions.amount),STD(transactions.amount),MEDIAN(transactions.amount),MODE(transactions.product_id),NUM_UNIQUE(transactions.product_id),LAST(transactions.product_id),LAST(transactions.amount),SKEW(transactions.amount),MEAN(transactions.ABSOLUTE(amount)),MEAN(transactions.DIFF(amount by session_id)),MEAN(transactions.DIFF(amount by product_id)),SUM(transactions.ABSOLUTE(amount)),SUM(transactions.DIFF(amount by session_id)),SUM(transactions.DIFF(amount by product_id)),MIN(transactions.ABSOLUTE(amount)),MIN(transactions.DIFF(amount by session_id)),MIN(transactions.DIFF(amount by product_id)),MAX(transactions.ABSOLUTE(amount)),MAX(transactions.DIFF(amount by session_id)),MAX(transactions.DIFF(amount by product_id)),STD(transactions.ABSOLUTE(amount)),STD(transactions.DIFF(amount by session_id)),STD(transactions.DIFF(amount by product_id)),MEDIAN(transactions.ABSOLUTE(amount)),MEDIAN(transactions.DIFF(amount by session_id)),MEDIAN(transactions.DIFF(amount by product_id)),LAST(transactions.ABSOLUTE(amount)),LAST(transactions.DIFF(amount by session_id)),LAST(transactions.DIFF(amount by product_id)),SKEW(transactions.ABSOLUTE(amount)),SKEW(transactions.DIFF(amount by session_id)),SKEW(transactions.DIFF(amount by product_id)),ABSOLUTE(COUNT(transactions)),ABSOLUTE(MEAN(transactions.amount)),ABSOLUTE(SUM(transactions.amount)),ABSOLUTE(MIN(transactions.amount)),ABSOLUTE(MAX(transactions.amount)),ABSOLUTE(STD(transactions.amount)),ABSOLUTE(MEDIAN(transactions.amount)),ABSOLUTE(NUM_UNIQUE(transactions.product_id)),ABSOLUTE(LAST(transactions.amount)),ABSOLUTE(SKEW(transactions.amount)),DIFF(MEDIAN(transactions.amount) by customer_id),DIFF(MEDIAN(transactions.amount) by device),DIFF(MEAN(transactions.amount) by device),DIFF(STD(transactions.amount) by customer_id),DIFF(MEAN(transactions.amount) by customer_id),DIFF(STD(transactions.amount) by device),DIFF(SUM(transactions.amount) by customer_id),DIFF(MIN(transactions.amount) by customer_id),DIFF(MAX(transactions.amount) by device),DIFF(NUM_UNIQUE(transactions.product_id) by customer_id),DIFF(SKEW(transactions.amount) by customer_id),DIFF(SUM(transactions.amount) by device),DIFF(COUNT(transactions) by device),DIFF(LAST(transactions.amount) by customer_id),DIFF(MIN(transactions.amount) by device),DIFF(MAX(transactions.amount) by customer_id),DIFF(NUM_UNIQUE(transactions.product_id) by device),DIFF(SKEW(transactions.amount) by device),DIFF(COUNT(transactions) by customer_id),DIFF(LAST(transactions.amount) by device)
1,2,desktop,16,76.81312500000001,1229.0100000000002,20.91,141.66,41.60097590501935,72.91499999999999,3,5,5,69.45,0.2954584806495609,76.81312500000001,-2.6686666666666685,2.145714285714288,1229.0100000000002,-40.03000000000003,30.040000000000035,20.91,-99.22,-59.55,141.66,84.00999999999999,104.71000000000001,41.60097590501935,60.353013993463804,51.98075423643842,72.91499999999999,-16.14,-4.055,69.45,45.69,-59.55,0.2954584806495609,0.07385672743318733,0.49075837018437013,16,76.81312500000001,1229.0100000000002,20.91,141.66,41.60097590501935,72.91499999999999,5,69.45,0.2954584806495609,,,,,,,,,,,,,,,,,,,,
2,5,mobile,10,74.696,746.96,9.32,135.25,45.89359122530677,75.39,5,5,5,9.32,-0.16055033518609554,74.696,-11.855555555555558,-4.827777777777777,746.96,-106.70000000000002,-43.44999999999999,9.32,-125.93,-90.95999999999998,135.25,63.99999999999999,93.22,45.89359122530677,68.81013481150707,70.02490731478653,75.39,11.82,-6.979999999999999,9.32,-125.93,-87.86000000000001,-0.16055033518609554,-0.5156360132973177,0.22931246819893986,10,74.696,746.96,9.32,135.25,45.89359122530677,75.39,5,9.32,0.16055033518609554,,,,,,,,,,,,,,,,,,,,
3,4,mobile,15,88.60000000000001,1329.0000000000002,8.7,147.73,46.24001560182634,86.53,1,5,1,137.82,-0.32401158479379677,88.60000000000001,9.222857142857142,16.20307692307692,1329.0000000000002,129.12,210.64,8.7,-78.02000000000001,-78.02000000000001,147.73,86.74000000000001,90.33999999999999,46.24001560182634,53.09959704737322,51.80628812937277,86.53,10.734999999999992,17.97,137.82,35.05999999999999,79.11999999999999,-0.32401158479379677,-0.2903479023629456,-0.09917981948201898,15,88.60000000000001,1329.0000000000002,8.7,147.73,46.24001560182634,86.53,5,137.82,0.32401158479379677,,11.14,13.90400000000001,,,0.3464243765195718,,,12.47999999999999,,,582.0400000000002,5.0,,-0.620000000000001,,0.0,-0.16346124960770123,,128.5
4,1,mobile,25,64.55720000000001,1613.93,6.29,129.0,40.18720479622007,54.85,5,5,5,129.0,0.23434926881805834,64.55720000000001,0.09166666666666738,0.5008000000000012,1613.93,2.200000000000017,12.520000000000032,6.29,-111.26,-91.74000000000001,129.0,103.5,106.24,40.18720479622007,63.50222424496618,56.92008366414557,54.85,14.305000000000001,6.25,129.0,81.05,26.239999999999995,0.23434926881805834,-0.23324013945123073,0.10152643487257633,25,64.55720000000001,1613.93,6.29,129.0,40.18720479622007,54.85,5,129.0,0.23434926881805834,,-31.68,-24.0428,,,-6.052810805606271,,,-18.72999999999999,,,284.92999999999984,10.0,,-2.4099999999999993,,0.0,0.5583608536118552,,-8.819999999999993
5,4,mobile,11,70.6381818181818,777.0199999999999,7.43,139.2,48.918662863611026,69.24,5,5,2,36.68,0.33638130811509315,70.6381818181818,-9.460999999999999,6.518181818181817,777.0199999999999,-94.60999999999999,71.69999999999999,7.43,-131.76999999999998,-57.459999999999994,139.2,67.66999999999999,84.85,48.918662863611026,83.67490045142303,48.05038601680153,69.24,32.115,-6.339999999999996,36.68,-60.50000000000001,-13.280000000000001,0.33638130811509315,-0.5415349937153867,0.4269480854840768,11,70.6381818181818,777.0199999999999,7.43,139.2,48.918662863611026,69.24,5,36.68,0.33638130811509315,-17.290000000000006,14.389999999999993,6.080981818181797,2.6786472617846826,-17.961818181818202,8.731458067390953,-551.9800000000004,-1.2699999999999996,10.199999999999989,0.0,0.6603928929088899,-836.9100000000002,-14.0,-101.13999999999999,1.1399999999999997,-8.530000000000001,0.0,0.1020320392970348,-4.0,-92.32
6,1,tablet,15,84.44,1266.6,8.74,139.23,42.65475454992428,70.14,4,5,4,129.98,-0.13475408649983936,84.44,4.397857142857141,14.306666666666668,1266.6,61.56999999999998,214.60000000000002,8.74,-124.53000000000002,-65.13,139.23,99.85999999999999,121.24,42.65475454992428,68.83890069503651,56.95291509743147,70.14,27.519999999999996,-0.37999999999999545,129.98,99.85999999999999,121.24,-0.13475408649983936,-0.44662439778456675,0.6118302745416705,15,84.44,1266.6,8.74,139.23,42.65475454992428,70.14,5,129.98,0.13475408649983936,15.29,,,2.467549753704205,19.88279999999999,,-347.33000000000015,2.45,,0.0,-0.36910335531789773,,,0.9799999999999898,,10.22999999999999,,,-10.0,
7,3,tablet,15,62.79133333333334,941.8700000000001,8.19,146.31,47.264796755946726,54.35,1,5,2,146.31,0.6184551860480938,62.79133333333334,0.672857142857144,-17.100666666666665,941.8700000000001,9.420000000000016,-256.51,8.19,-110.28999999999999,-128.45000000000002,146.31,115.27,109.63,47.264796755946726,66.12345498309278,69.75875024137184,54.35,-5.620000000000001,7.030000000000001,146.31,87.61,109.63,0.6184551860480938,0.017077709233122226,-0.008639290253685695,15,62.79133333333334,941.8700000000001,8.19,146.31,47.264796755946726,54.35,5,146.31,0.6184551860480938,,-15.79,-21.648666666666657,,,4.610042206022449,,,7.0800000000000125,,,-324.7299999999998,0.0,,-0.5500000000000007,,0.0,0.7532092725479331,,16.330000000000013
8,4,tablet,18,75.08111111111111,1351.46,12.59,143.85,44.213241946261896,67.645,1,5,1,35.94,0.20067588613526527,75.08111111111111,-4.478235294117646,-11.23611111111111,1351.46,-76.13,-202.25,12.59,-104.68,-94.4,143.85,74.73000000000002,56.88999999999999,44.213241946261896,55.36708185322012,37.9228587187028,67.645,11.090000000000003,-21.845000000000002,35.94,23.349999999999998,-39.89,0.20067588613526527,-0.5297926208037683,-0.1202749688975893,18,75.08111111111111,1351.46,12.59,143.85,44.213241946261896,67.645,5,35.94,0.20067588613526527,-1.5949999999999989,13.294999999999995,12.289777777777772,-4.70542091734913,4.442929292929307,-3.0515548096848306,574.4400000000002,5.16,-2.460000000000008,0.0,-0.13570542197982788,409.5899999999999,3.0,-0.740000000000002,4.4,4.650000000000006,0.0,-0.41777929991282853,7.0,-110.37
9,1,desktop,15,70.13533333333332,1052.0299999999997,5.81,132.72,46.90566518733816,57.62,1,5,3,41.7,0.22633703084798373,70.13533333333332,-6.284999999999998,-9.238666666666665,1052.0299999999997,-87.98999999999998,-138.57999999999998,5.81,-111.28999999999999,-114.97999999999999,132.72,43.19,47.74000000000001,46.90566518733816,44.8470679514966,47.65793815854616,57.62,2.8350000000000044,-2.5100000000000016,41.7,-6.039999999999999,29.110000000000003,0.22633703084798373,-1.2960099472163649,-0.7635953053358191,15,70.13533333333332,1052.0299999999997,5.81,132.72,46.90566518733816,57.62,5,41.7,0.22633703084798373,-12.520000000000003,-15.294999999999995,-6.6777916666666925,4.250910637413881,-14.304666666666677,5.304689282318812,-214.57000000000016,-2.9300000000000006,-8.939999999999998,0.0,0.36109111734782307,-176.98000000000047,-1.0,-88.27999999999999,-15.100000000000001,-6.509999999999991,0.0,-0.06912144980157714,0.0,-27.75
10,2,tablet,15,88.04266666666668,1320.64,15.8,142.44,39.88661384235974,101.3,2,5,5,123.19,-0.45519662458590393,88.04266666666668,7.670714285714285,7.5393333333333326,1320.64,107.39,113.08999999999999,15.8,-91.48,-111.0,142.44,84.87,118.47999999999999,39.88661384235974,55.39355286899866,72.50476156449182,101.3,20.884999999999998,0.4200000000000017,123.19,72.74,113.87,-0.45519662458590393,-0.4364045512977559,0.31175104234543705,15,88.04266666666668,1320.64,15.8,142.44,39.88661384235974,101.3,5,123.19,0.45519662458590393,28.385000000000005,33.655,12.961555555555563,-1.7143620626596032,11.229541666666663,-4.326628103902152,91.62999999999988,-5.109999999999999,-1.4099999999999966,0.0,-0.7506551052354649,-30.819999999999936,-3.0,53.739999999999995,3.210000000000001,0.7800000000000011,0.0,-0.6558725107211691,-1.0,87.25
11,4,mobile,15,77.05466666666668,1155.8200000000002,27.02,147.86,35.466283760911914,69.32,3,4,5,27.02,0.3828678496286044,77.05466666666668,-0.5542857142857142,22.542857142857144,1155.8200000000002,-7.759999999999998,315.6,27.02,-112.37,-37.03000000000001,147.86,78.54000000000002,102.72,35.466283760911914,54.258082235848406,45.205619703165816,69.32,-3.0450000000000017,25.715000000000003,27.02,-39.93000000000001,-33.150000000000006,0.3828678496286044,-0.41717371401376585,0.17724661053343435,15,77.05466666666668,1155.8200000000002,27.02,147.86,35.466283760911914,69.32,4,27.02,0.3828678496286044,,,,,,,,,,,,,,,,,,,,
